DB_ID(key)						name			maxhp	maxmp	damage	speed	range	gold	attack_frame	skill_frame		die_frame	move_frame		imgID		attack_imgID	skill_imgID		die_imgID		move_imgID			attack_soundID	skill_soundID	die_soundID		move_soundID
1010001(CHARACTER_COMMON)		lizard			75		50		0		8		1		8		0				0				7			4				100035		0				0				1				100035				0				0				37				0
1010002(CHARACTER_COMMON)		eesanghe		50		50		0		8		1		5		0				0				7			4				100031		0				0				1				100031				0				0				37				0
1010003(CHARACTER_COMMON)		ggobugi			50		50		0		15		1		6		0				0				7			4				100030		0				0				1				100030				0				0				37				0
1010004(CHARACTER_COMMON)		piry			50		50		0		10		1		6		0				0				7			4				100034		0				0				1				100034				0				0				37				0
1010005(CHARACTER_COMMON)		asdd			50		50		0		16		1		50		0				0				7			4				100043		0				0				1				100043				0				0				37				0
1010006(CHARACTER_COMMON)		kingtuttle		30		50		0		8		1		50		0				0				7			4				100039		0				0				1				100039				0				0				37				0
1010007(CHARACTER_COMMON)		jamambo			180		50		0		24		1		20		0				0				7			4				100147		0				0				1				100147				0				0				37				0
1010008(CHARACTER_COMMON)		ddubuck			30		50		0		8		1		5		0				0				7			4				100073		0				0				1				100073				0				0				37				0
1010009(CHARACTER_COMMON)		gcobbul			125		50		0		13		1		10		0				0				7			4				100063		0				0				1				100063				0				0				37				0
1010010(CHARACTER_COMMON)		bcobbul			125		50		0		16		1		10		0				0				7			4				100064		0				0				1				100064				0				0				37				0
1010011(CHARACTER_COMMON)		ironstone		300		50		0		18		1		30		0				0				7			4				100131		0				0				1				100131				0				0				37				0
1010012(CHARACTER_COMMON)		rat 			20		50		0		4		1		5		0				0				7			4				100050		0				0				1				100050				0				0				37				0
1010013(CHARACTER_COMMON)		ddubuck			30		50		0		6		1		6		0				0				7			4				100073		0				0				1				100073				0				0				37				0
1010014(CHARACTER_COMMON)		naong			100		50		0		10		1		6		0				0				7			4				100083		0				0				1				100083				0				0				37				0
1010015(CHARACTER_COMMON)		horse			100		50		0		10		1		6		0				0				7			4				100108		0				0				1				100108				0				0				37				0
1010016(CHARACTER_COMMON)		bamb			50		50		0		10		1		6		0				0				7			4				100053		0				0				1				100053				0				0				37				0
1010017(CHARACTER_COMMON)		digdag			80		50		0		10		1		6		0				0				7			4				100081		0				0				1				100081				0				0				37				0
1010018(CHARACTER_COMMON)		bigdog			123		50		0		10		1		6		0				0				7			4				100089		0				0				1				100089				0				0				37				0
1010019(CHARACTER_COMMON)		rongstone		400		50		0		23		1		40		0				0				7			4				100125		0				0				1				100125				0				0				37				0
1010020(CHARACTER_COMMON)		saseam			100		50		0		10		1		6		0				0				7			4				100135		0				0				1				100135				0				0				37				0
1010021(CHARACTER_COMMON)		cure			100		50		0		10		1		6		0				0				7			4				100136		0				0				1				100136				0				0				37				0
1010022(CHARACTER_COMMON)		milk			100		50		0		10		1		6		0				0				7			4				100137		0				0				1				100137				0				0				37				0
1010023(CHARACTER_COMMON)		mearong			100		50		0		10		1		6		0				0				7			4				100138		0				0				1				100138				0				0				37				0
1010024(CHARACTER_COMMON)		mime			700		50		0		28		1		50		0				0				7			4				100139		0				0				1				100139				0				0				37				0
1010025(CHARACTER_COMMON)		fire1			100		50		0		10		1		6		0				0				7			4				100140		0				0				1				100140				0				0				37				0
1010026(CHARACTER_COMMON)		fire2			100		50		0		10		1		6		0				0				7			4				100141		0				0				1				100141				0				0				37				0
1010027(CHARACTER_COMMON)		magma			120		50		0		10		1		6		0				0				7			4				100142		0				0				1				100142				0				0				37				0
1010028(CHARACTER_COMMON)		firedog			100		50		0		10		1		6		0				0				7			4				100143		0				0				1				100143				0				0				37				0
1010029(CHARACTER_COMMON)		ggobugi			50		50		0		6		1		6		0				0				7			4				100038		0				0				1				100038				0				0				37				0
1010030(CHARACTER_COMMON)		golduck			120		50		0		12		1		6		0				0				7			4				100085		0				0				1				100085				0				0				37				0
1010031(CHARACTER_COMMON)		suluckch		100		50		0		10		1		6		0				0				7			4				100092		0				0				1				100092				0				0				37				0
1010032(CHARACTER_COMMON)		minung			140		50		0		14		1		6		0				0				7			4				100145		0				0				1				100145				0				0				37				0
1010033(CHARACTER_COMMON)		fizon2			100		50		0		10		1		6		0				0				7			4				100048		0				0				1				100048				0				0				37				0
1010034(CHARACTER_COMMON)		goyang			170		50		0		17		1		6		0				0				7			4				100093		0				0				1				100093				0				0				37				0
1010035(CHARACTER_COMMON)		garados			500		50		0		24		1		6		0				0				7			4				100146		0				0				1				100146				0				0				37				0
1020001(CHARACTER_FLY)			butterfly		100		50		0		16		1		15		0				0				7			4				100042		0				0				1				100042				0				0				37				0
1020002(CHARACTER_FLY)			kingfly			200		50		0		18		1		10		0				0				7			4				100132		0				0				1				100132				0				0				37				0
1020003(CHARACTER_FLY)			nabang			50		50		0		8		1		6		0				0				7			4				100079		0				0				1				100079				0				0				37				0
1020005(CHARACTER_FLY)			thunderbird		400		50		0		20		1		25		0				0				7			4				100133		0				0				1				100133				0				0				37				0
1020006(CHARACTER_FLY)			trash			100		50		0		10		1		6		0				0				7			4				100134		0				0				1				100134				0				0				37				0
1020007(CHARACTER_FLY)			firebird		500		50		0		20		1		30		0				0				7			4				100144		0				0				1				100144				0				0				37				0
