DB_id(key)		filename			size_x		size_y	angle
1			gold				100		100	0
2			tile\\tile2			50		50	0
10			tile\\tile10			50		50	0
11			tile\\tile11			50		50	0
12			tile\\tile12			50		50	0
13			tile\\tile13			50		50	0
14			tile\\tile14			50		50	0	
15			tile\\tile11			50		50	0
28			tile\\tile5			50		50	0
29			tile\\tile4			50		50	0
30			tile\\tile6			50		50	0
31			tile\\tile8			50		50	0
32			tile\\tile14			50		50	0
33			tile\\tile15			50		50	0
34			tile\\tile17			50		50	0
35			tile\\tile18			50		50	0
36			tile\\tile19			50		50	0
37			tile\\tile20			50		50	0
38			tile\\tile21			50		50	0
199			skill\\thunderhell	99			96		0
100030			character\\158		48			48		0
100031			character\\001		48			48		0
100032			character\\002		48			48		0
100033			character\\003		48			48		0
100034			character\\004		48			48		0
100035			character\\005		48			48		0
100036			character\\006		48			48		0
100037			character\\007		48			48		0
100038			character\\008		48			48		0
100039			character\\009		48			48		0
100040			character\\010		48			48		0
100041			character\\011		48			48		0
100042			character\\012		48			48		0
100043			character\\013		48			48		0
100044			character\\014		48			48		0
100045			character\\015		48			48		0
100046			character\\016		48			48		0
100047			character\\017		48			48		0
100048			character\\018		48			48		0
100049			character\\019		48			48		0
100050			character\\020		48			48		0
100051			character\\021		48			48		0
100052			character\\022		48			48		0
100053			character\\023		48			48		0
100054			character\\024		48			48		0
100055			character\\025		48			48		0
100056			character\\026		48			48		0
100057			character\\027		48			48		0
100058			character\\028		48			48		0
100059			character\\029		48			48		0
100060			character\\030		48			48		0
100061			character\\031		48			48		0
100062			character\\032		48			48		0
100063			character\\033		48			48		0
100064			character\\034		48			48		0
100065			character\\035		48			48		0
100066			character\\036		48			48		0
100067			character\\037		48			48		0
100068			character\\038		48			48		0
100069			character\\039		48			48		0
100070			character\\040		48			48		0
100071			character\\041		48			48		0
100072			character\\042		48			48		0
100073			character\\043		48			48		0
100074			character\\044		48			48		0
100075			character\\045		48			48		0
100076			character\\046		48			48		0
100077			character\\047		48			48		0
100078			character\\048		48			48		0
100079			character\\049		48			48		0
100080			character\\050		48			48		0
100081			character\\051		48			48		0
100082			character\\052		48			48		0
100083			character\\053		48			48		0
100084			character\\054		48			48		0
100085			character\\055		48			48		0
100086			character\\056		48			48		0
100087			character\\057		48			48		0
100088			character\\058		48			48		0
100089			character\\059		48			48		0
100090			character\\060		48			48		0
100091			character\\061		48			48		0
100092			character\\062		48			48		0
100093			character\\063		48			48		0
100094			character\\064		48			48		0
100095			character\\065		48			48		0
100096			character\\066		48			48		0
100097			character\\067		48			48		0
100098			character\\068		48			48		0
100099			character\\069		48			48		0
100100			character\\070		48			48		0
100101			character\\071		48			48		0
100102			character\\072		48			48		0
100103			character\\073		48			48		0
100104			character\\074		48			48		0
100105			character\\075		48			48		0
100106			character\\076		48			48		0
100107			character\\077		48			48		0
100108			character\\078		48			52		0
100109			character\\079		48			48		0
100110			character\\080		48			48		0
100111			character\\081		48			48		0
100112			character\\082		48			48		0
100113			character\\083		48			48		0
100114			character\\084		48			48		0
100115			character\\085		48			48		0
100116			character\\086		48			48		0
100117			character\\087		48			48		0
100118			character\\088		48			48		0
100119			character\\089		48			48		0
100120			character\\090		48			48		0
100121			character\\091		48			48		0
100122			character\\092		48			48		0
100123			character\\093		48			48		0
100124			character\\094		48			48		0
100125			character\\095		135			135		0
100126			character\\096		48			48		0
100127			character\\097		48			48		0
100128			character\\098		48			48		0
100129			character\\099		48			48		0
100130			character\\100		48			48		0
100131			character\\208		78			75		0
100132			character\\250		127.5		127.5	0
100133			character\\145		128			128		0
100134			character\\110		48			48		0
100135			character\\234		48			48		0
100136			character\\242		48			48		0
100137			character\\241		48			48		0
100138			character\\108		48			48		0
100139			character\\122		48			48		0
100140			character\\244		68			68		0
100141			character\\201		48			77		0
100142			character\\240		48			48		0
100143			character\\078		48			52		0
100144			character\\146		150			150		0
100145			character\\148		72			72		0
100146			character\\130		126			106		0
100147			character\\143		96			96		0
200001			skill\\FlameArrow2		85			40		0
200003			skill\\explode1			64			64		0
200005			skill\\fire				25			25		0
200007			skill\\explode2			32			32		0
200010			skill\\explode2			32			32		0
200011			skill\\thunder1			94			90		0
200019			skill\\thunder2			160			160		0
200020			skill\\FlameArrow		88			41		0
200021			skill\\thunder3			176			376		90
200023			skill\\ice1				96			96		0
200024			skill\\icebreak1		136			90		0
200026			skill\\FlameSplash2		64			64		0
200027			skill\\FlameExplosion	128			128		0
200028			skill\\poisonAttack		60			60		90
200029			skill\\poisonExplosion	80			80		180
200030			skill\\FrostState		185			138		0
200031			skill\\sandAttack		122			52		180
200032			skill\\sand				136			104		0
200033			skill\\empty			50			50		0
200034			skill\\blackhall		96			96		0
200035			skill\\blame			163			163		0
200036			skill\\boltarrow		180			180		45
200037			skill\\bomb2			180			140		0
200038			skill\\bobm3			192			192		0
200039			skill\\circle			69			69		0
200040			skill\\circlefire		69			69		0
200041			skill\\explode3			64			64		0
200042			skill\\firearrow		180			180		45
200043			skill\\fireball1		96			96		0
200044			skill\\firehell			180			180		180
200045			skill\\FrozenArrow		180			180		45
200046			skill\\iceBlast_hit		200			200		0
200047			skill\\icebreak1		90			90		0
200048			skill\\icelight			180			180		0
200049			skill\\lightarrow		180			180		0
200050			skill\\lightarrow2		180			180		0
200051			skill\\lightarrow3		180			180		0
200052			skill\\shield1			96			96		0
200053			skill\\shield2			96			96		0
200054			skill\\slac				178			178		0
200055			skill\\small			96			96		0
200056			skill\\thunder3			377			176		0
200057			skill\\thunderbolt		96			96		0
200058			skill\\thunderhell		96			96		0
200059			skill\\volt				180			180		0
200060			skill\\wind				50			50		0
200061			skill\\arrow1			104			17		180
200062			skill\\arrowattack1		96			94		0
200063			skill\\electricDirect2	64			128		90
200064			skill\\blackhole1		183			182		0
300025			map\\map3				100			100		0
500001			tower\\Ice				70			120		0
