DB_ID(key)					name			maxhp	maxmp	damage	speed	range	cost	attack_frame	skill_frame		die_frame		imgID		attack_imgID	skill_imgID		die_imgID	attack_soundID	skill_soundID	die_soundID		attackID	skillID
5010001(TOWER_COMMON)		Ice				100		100		10		60		200		100		1				1				1				500001		500001			0				500001		0				0				0				2020001		0
5010002(TOWER_COMMON)		FireArrow		100		100		15		45		350		50		1				1				1				500002		500002			0				500002		22				0				0				2020002		0
5010003(TOWER_COMMON)		Electric		100		100		10		25		200		50		1				1				1				500003		500003			0				500003		34				0				0				2030001		0
5010004(TOWER_COMMON)		Bow				100		100		12		45		450		100		1				1				1				500004		500004			0				500004		28				0				0				2020005		0
5010005(TOWER_COMMON)		ThunderStrike	100		100		25		100		350		150		1				1				1				500005		500005			0				500005		29				0				0				2050001		0
5010006(TOWER_COMMON)		Approach		100		100		10		60		150		150		1				1				1				500006		500006			0				500006		27				0				0				2060001		0
5010007(TOWER_COMMON)		Poison			100		100		10		60		200		150		1				1				1				500007		500007			0				500007		30				0				0				2020003		0
5010008(TOWER_COMMON)		Sand			100		100		10		60		200		150		1				1				1				500008		500008			0				500008		32				0				0				2020004		0
5010009(TOWER_COMMON)		FrozenArrow		100		100		10		120		350		250		1				1				1				500009		500009			0				500009		23				0				0				2040003		0
5010010(TOWER_COMMON)		HellFire		100		100		30		120		350		200		1				1				1				500010		500010			0				500010		26				0				0				2040002		0
